species_pair,phylogeny,group,total,positive,negative
11_1-66_5,1.5829991229999998,non-IBD,192,0,192
120_1-229_3,0.7046303009999995,IBD,52,0,52
120_1-229_3,0.7046303009999995,non-IBD,85,0,85
120_1-334_3,1.872827937,IBD,41,0,41
120_1-334_3,1.872827937,non-IBD,36,0,36
120_1-335_1,1.8628850759999995,IBD,619,0,619
120_1-335_1,1.8628850759999995,non-IBD,439,0,439
120_1-338_1,1.897050858,IBD,151,0,151
120_1-338_1,1.897050858,non-IBD,198,0,198
120_1-45_1,2.437582406,IBD,32,0,32
120_1-45_1,2.437582406,non-IBD,80,0,80
120_1-48_2,2.3684277819999995,IBD,11,0,11
120_1-48_2,2.3684277819999995,non-IBD,88,0,88
120_1-66_5,1.979929959,IBD,355,0,355
120_1-66_5,1.979929959,non-IBD,133,0,133
120_1-76_2,1.976303795,IBD,214,0,214
120_1-76_2,1.976303795,non-IBD,12,0,12
121_1-338_1,2.006983463,IBD,12,0,12
121_1-338_1,2.006983463,non-IBD,128,0,128
121_1-45_1,2.547515011,IBD,22,0,22
121_1-45_1,2.547515011,non-IBD,72,0,72
121_1-66_5,2.089862564,IBD,65,0,65
121_1-66_5,2.089862564,non-IBD,67,0,67
121_1-97_1,0.8088605179999999,IBD,15,0,15
121_1-97_1,0.8088605179999999,non-IBD,17,0,17
125_1-229_3,0.7320696649999996,IBD,34,0,34
125_1-229_3,0.7320696649999996,non-IBD,106,0,106
125_1-233_3,0.7344023019999999,IBD,12,0,12
125_1-233_3,0.7344023019999999,non-IBD,12,0,12
125_1-335_1,1.89032444,IBD,80,0,80
125_1-335_1,1.89032444,non-IBD,1129,0,1129
125_1-338_1,1.924490222,IBD,107,0,107
125_1-338_1,1.924490222,non-IBD,632,0,632
125_1-42_2,2.373183869,IBD,28,0,28
125_1-42_2,2.373183869,non-IBD,44,0,44
125_1-44_3,2.385555457,IBD,25,0,25
125_1-44_3,2.385555457,non-IBD,27,0,27
125_1-45_1,2.465021769999999,IBD,263,0,263
125_1-45_1,2.465021769999999,non-IBD,268,0,268
125_1-48_2,2.395867146,IBD,33,0,33
125_1-48_2,2.395867146,non-IBD,186,0,186
125_1-66_5,2.007369323,IBD,16,0,16
125_1-66_5,2.007369323,non-IBD,407,0,407
125_1-96_1,0.6942191960000001,IBD,33,0,33
125_1-96_1,0.6942191960000001,non-IBD,53,0,53
125_1-97_1,0.726367277,IBD,22,0,22
125_1-97_1,0.726367277,non-IBD,68,1,67
12_1-32_1,1.0361317329999995,IBD,18,0,18
12_1-32_1,1.0361317329999995,non-IBD,15,0,15
13_1-335_1,1.6055784729999998,IBD,143,0,143
13_1-335_1,1.6055784729999998,non-IBD,213,0,213
13_1-338_1,1.639744255,IBD,109,0,109
13_1-338_1,1.639744255,non-IBD,160,0,160
13_1-45_1,1.0572727229999992,IBD,121,4,117
13_1-45_1,1.0572727229999992,non-IBD,52,1,51
13_1-48_2,0.9881180989999998,IBD,42,3,39
13_1-48_2,0.9881180989999998,non-IBD,22,2,20
13_1-66_5,1.51837595,IBD,26,0,26
13_1-66_5,1.51837595,non-IBD,62,0,62
14_1-229_3,2.177840413,IBD,55,0,55
14_1-229_3,2.177840413,non-IBD,31,0,31
14_1-335_1,1.758653134,IBD,189,0,189
14_1-335_1,1.758653134,non-IBD,442,0,442
