species_pair,phylogeny,group,total,HGT,non_HGT
116_1-46_1,2.4211652059999995,between,23797,0,23797
116_1-48_2,2.4833872059999993,within,38,0,38
116_1-48_2,2.4833872059999993,between,40570,0,40570
116_1-66_5,2.0948893829999995,within,182,0,182
116_1-66_5,2.0948893829999995,between,91510,0,91510
116_1-97_1,0.8138873369999997,within,22,1,21
116_1-97_1,0.8138873369999997,between,10310,16,10294
118_1-335_1,1.972089611999999,within,116,0,116
118_1-335_1,1.972089611999999,between,11554,0,11554
118_1-338_1,2.006255394,within,162,0,162
118_1-338_1,2.006255394,between,7506,0,7506
119_1-120_1,0.10421401199999993,within,50,0,50
119_1-120_1,0.10421401199999993,between,15688,76,15612
119_1-125_1,0.438916828,within,57,0,57
119_1-125_1,0.438916828,between,16779,2,16777
119_1-223_1,0.6180981729999995,within,24,0,24
119_1-223_1,0.6180981729999995,between,11444,0,11444
119_1-226_1,0.6050686209999996,within,49,0,49
119_1-226_1,0.6050686209999996,between,19593,0,19593
119_1-226_2,0.6048918229999996,within,27,0,27
119_1-226_2,0.6048918229999996,between,9123,0,9123
119_1-229_3,0.7048316269999995,within,64,0,64
119_1-229_3,0.7048316269999995,between,59960,0,59960
119_1-26_2,2.461208917999999,within,66,0,66
119_1-26_2,2.461208917999999,between,58372,0,58372
119_1-283_1,1.4181970749999997,within,78,0,78
119_1-283_1,1.4181970749999997,between,11390,0,11390
119_1-318_56,1.7324349489999995,within,107,0,107
119_1-318_56,1.7324349489999995,between,52231,0,52231
119_1-326_1,1.782090635,within,23,0,23
119_1-326_1,1.782090635,between,31697,0,31697
119_1-32_1,2.3454715989999992,within,26,0,26
119_1-32_1,2.3454715989999992,between,60242,0,60242
119_1-334_1,1.8658828989999996,within,98,0,98
119_1-334_1,1.8658828989999996,between,49922,0,49922
119_1-334_3,1.8730292629999996,within,79,0,79
119_1-334_3,1.8730292629999996,between,27249,0,27249
119_1-335_1,1.8630864019999993,within,1142,0,1142
119_1-335_1,1.8630864019999993,between,710728,1,710727
119_1-338_1,1.897252184,within,573,0,573
119_1-338_1,1.897252184,between,467175,0,467175
119_1-37_1,2.3566385319999994,within,21,0,21
119_1-37_1,2.3566385319999994,between,5469,0,5469
119_1-42_2,2.345945830999999,within,58,0,58
119_1-42_2,2.345945830999999,between,35688,0,35688
119_1-44_1,2.3576069789999994,within,25,0,25
119_1-44_1,2.3576069789999994,between,30719,0,30719
119_1-44_3,2.3583174189999996,within,91,0,91
119_1-44_3,2.3583174189999996,between,62617,0,62617
119_1-44_4,2.3668791449999995,within,30,0,30
119_1-44_4,2.3668791449999995,between,3630,0,3630
119_1-45_1,2.4377837319999993,within,316,0,316
119_1-45_1,2.4377837319999993,between,240756,0,240756
119_1-46_1,2.3064071079999997,within,105,0,105
119_1-46_1,2.3064071079999997,between,80659,0,80659
119_1-48_2,2.3686291079999995,within,171,0,171
119_1-48_2,2.3686291079999995,between,137445,0,137445
119_1-66_5,1.9801312849999997,within,627,0,627
119_1-66_5,1.9801312849999997,between,310107,0,310107
119_1-96_1,0.666981158,within,26,0,26
119_1-96_1,0.666981158,between,32304,2,32302
119_1-97_1,0.6991292389999999,within,28,0,28
119_1-97_1,0.6991292389999999,between,34986,3,34983
11_1-26_2,1.1453210819999993,within,27,3,24
11_1-26_2,1.1453210819999993,between,21528,2486,19042
11_1-283_1,1.977706223,within,43,0,43
11_1-283_1,1.977706223,between,4187,0,4187
11_1-32_1,1.029583762999999,within,41,7,34
11_1-32_1,1.029583762999999,between,22189,1101,21088
11_1-332_1,1.7181386950000002,within,32,0,32
11_1-332_1,1.7181386950000002,between,2803,0,2803
11_1-334_3,1.6801445069999998,within,21,0,21
11_1-334_3,1.6801445069999998,between,10059,0,10059
11_1-335_1,1.6702016459999995,within,344,0,344
11_1-335_1,1.6702016459999995,between,262231,6,262225
11_1-338_1,1.704367428,within,168,0,168
11_1-338_1,1.704367428,between,172362,5,172357
11_1-39_5,1.0393583489999996,within,28,3,25
11_1-39_5,1.0393583489999996,between,8927,808,8119
11_1-42_2,1.0300579949999995,within,27,3,24
11_1-42_2,1.0300579949999995,between,13158,930,12228
11_1-44_3,1.0424295829999997,within,29,7,22
11_1-44_3,1.0424295829999997,between,23101,2760,20341
11_1-45_1,1.1218958959999994,within,102,2,100
11_1-45_1,1.1218958959999994,between,88818,8248,80570
11_1-48_2,1.0527412719999996,within,83,19,64
11_1-48_2,1.0527412719999996,between,50677,6336,44341
11_1-66_5,1.5829991229999998,within,205,0,205
11_1-66_5,1.5829991229999998,between,114410,0,114410
120_1-125_1,0.438715502,within,21,0,21
120_1-125_1,0.438715502,between,17781,0,17781
120_1-211_1,1.5289420239999998,within,116,0,116
120_1-211_1,1.5289420239999998,between,1819,0,1819
120_1-219_1,0.5850187899999999,within,30,0,30
120_1-219_1,0.5850187899999999,between,9645,0,9645
120_1-226_1,0.6048672949999996,within,55,0,55
120_1-226_1,0.6048672949999996,between,20714,0,20714
120_1-229_3,0.7046303009999995,within,139,0,139
120_1-229_3,0.7046303009999995,between,63329,0,63329
120_1-233_3,0.7069629379999998,within,72,0,72
120_1-233_3,0.7069629379999998,between,8442,0,8442
120_1-234_2,0.6967450629999994,within,40,0,40
120_1-234_2,0.6967450629999994,between,1766,0,1766
120_1-238_3,0.6850739279999996,within,23,0,23
120_1-238_3,0.6850739279999996,between,8233,0,8233
120_1-26_2,2.461007591999999,within,36,0,36
120_1-26_2,2.461007591999999,between,61755,0,61755
120_1-298_1,0.974573961,within,26,0,26
