variant	af	lrt-pvalue	beta	notes	fdr	log10p
TMP-3 domain-containing protein	1.67E-01	6.99E-04	3.56E+00		0.0239719	3.155523
group_1209	8.73E-01	7.17E-04	-2.67E+00		0.0239719	3.144481
group_11903	1.03E-01	7.41E-04	4.25E+00		0.0239719	3.130182
HU family DNA-binding protein	1.03E-01	7.41E-04	4.25E+00		0.0239719	3.130182
group_512	3.81E-01	7.43E-04	2.09E+00		0.0239719	3.129011
group_20068	8.73E-02	7.61E-04	3.43E+00		0.0239719	3.118615
group_8764	8.73E-02	7.61E-04	3.43E+00		0.0239719	3.118615
group_6917	8.73E-02	7.61E-04	3.43E+00		0.0239719	3.118615
Alternative protein	1.03E-01	7.64E-04	3.77E+00		0.0239719	3.116907
group_8597	1.43E-01	7.80E-04	3.06E+00		0.0239719	3.107905
group_8363	7.94E-02	7.83E-04	4.18E+00		0.0239719	3.106238
Low-density lipoprotein receptor domain class A	9.52E-02	7.89E-04	3.43E+00		0.0239719	3.102923
group_23579	9.52E-02	7.89E-04	3.43E+00		0.0239719	3.102923
group_5482	2.30E-01	8.26E-04	3.17E+00		0.0239719	3.083020
Antirestriction protein	1.11E-01	8.71E-04	3.71E+00		0.0239719	3.059982
group_15699	1.11E-01	8.71E-04	3.71E+00		0.0239719	3.059982
ATP-dependent serine protease	1.11E-01	8.71E-04	3.71E+00		0.0239719	3.059982
Rubredoxin-like domain-containing protein	1.11E-01	8.71E-04	3.71E+00		0.0239719	3.059982
group_1848	1.51E-01	8.85E-04	2.71E+00		0.0239719	3.053057
PAAR motif protein	8.73E-02	9.06E-04	3.69E+00		0.0239719	3.042872
group_14653	8.73E-02	9.06E-04	3.69E+00		0.0239719	3.042872
group_6648	8.73E-02	9.06E-04	3.69E+00		0.0239719	3.042872
group_2930	1.27E-01	9.17E-04	2.99E+00		0.0239719	3.037631
group_5302	4.21E-01	9.56E-04	2.59E+00		0.0239719	3.019542
group_8466	2.22E-01	9.64E-04	-2.54E+00		0.0239719	3.015923
Kazal-like domain-containing protein	5.16E-01	9.66E-04	2.92E+00		0.0239719	3.015023
group_1586	3.17E-01	9.76E-04	-2.15E+00		0.0239719	3.010550
btgA	3.65E-01	9.79E-04	2.53E+00		0.0239719	3.009217
group_6748	1.19E-01	9.90E-04	3.63E+00		0.0239719	3.004365
group_10697	1.19E-01	9.90E-04	3.63E+00		0.0239719	3.004365
ATP-dependent Clp protease proteolytic subunit	1.19E-01	9.90E-04	3.63E+00		0.0239719	3.004365
Terminase-6C domain-containing protein	1.19E-01	9.90E-04	3.63E+00		0.0239719	3.004365
Phage Mu protein F like protein	1.19E-01	9.90E-04	3.63E+00		0.0239719	3.004365
dsbC	1.19E-01	9.90E-04	3.63E+00		0.0239719	3.004365
Mu-like prophage protein gpG	1.19E-01	9.90E-04	3.63E+00		0.0239719	3.004365
group_10703	1.19E-01	9.90E-04	3.63E+00		0.0239719	3.004365
group_15683	1.19E-01	9.90E-04	3.63E+00		0.0239719	3.004365
Radical SAM protein	1.19E-01	9.90E-04	3.63E+00		0.0239719	3.004365
Ig-like domain-containing protein	1.19E-01	9.90E-04	3.63E+00		0.0239719	3.004365
DUF2339 domain-containing protein	1.19E-01	9.90E-04	3.63E+00		0.0239719	3.004365
DUF1097 domain-containing protein	1.19E-01	9.90E-04	3.63E+00		0.0239719	3.004365
group_15688	1.19E-01	9.90E-04	3.63E+00		0.0239719	3.004365
group_15689	1.19E-01	9.90E-04	3.63E+00		0.0239719	3.004365
ATPase involved in DNA repair	1.19E-01	9.90E-04	3.63E+00		0.0239719	3.004365
PRA1 family protein	1.19E-01	9.90E-04	3.63E+00		0.0239719	3.004365
DDE transposase family protein	1.19E-01	9.90E-04	3.63E+00		0.0239719	3.004365
DUF1320 domain-containing protein	1.19E-01	9.90E-04	3.63E+00		0.0239719	3.004365
DUF935 domain-containing protein	1.19E-01	9.90E-04	3.63E+00		0.0239719	3.004365
arsR	1.19E-01	9.90E-04	3.63E+00		0.0239719	3.004365
DUF2158 domain-containing protein	1.19E-01	9.90E-04	3.63E+00		0.0239719	3.004365
group_6743	1.19E-01	9.90E-04	3.63E+00		0.0239719	3.004365
group_10704	1.19E-01	9.90E-04	3.63E+00		0.0239719	3.004365
group_10713	1.19E-01	9.90E-04	3.63E+00		0.0239719	3.004365
Flavoprotein domain-containing protein	1.19E-01	9.90E-04	3.63E+00		0.0239719	3.004365
Mor domain-containing protein	1.19E-01	9.90E-04	3.63E+00		0.0239719	3.004365
group_8311	1.19E-01	9.90E-04	3.63E+00		0.0239719	3.004365
RNA methyltransferase	8.41E-01	9.93E-04	-2.94E+00		0.0239719	3.003051
group_7143	2.22E-01	1.00E-03	-7.62E+00		0.0239719	3.000000
group_9159	2.22E-01	1.00E-03	-7.62E+00		0.0239719	3.000000
group_7644	3.17E-01	1.00E-03	-2.89E+00		0.0239719	3.000000
rhlE	8.89E-01	1.02E-03	-3.44E+00		0.0241797	2.991400
group_6652	1.51E-01	1.02E-03	2.65E+00		0.0241797	2.991400
AraC-type DNA-binding protein	1.11E-01	1.05E-03	3.18E+00		0.0247533	2.978811
group_14170	1.90E-01	1.08E-03	-2.53E+00		0.0253207	2.966576
Putative aerobic cobaltochelatase subunit, CobN-like	4.68E-01	1.16E-03	1.98E+00		0.0270477	2.935542
PPK2 domain-containing protein	8.41E-01	1.20E-03	-2.50E+00		0.0271132	2.920819
group_9376	5.24E-01	1.21E-03	2.87E+00		0.0271132	2.917215
GyrI-like small molecule binding domain protein	1.59E-01	1.22E-03	3.86E+00		0.0271132	2.913640
group_16951	1.59E-01	1.22E-03	3.86E+00		0.0271132	2.913640
DNA alkylation repair enzyme	1.59E-01	1.22E-03	3.86E+00		0.0271132	2.913640
ClbS/DfsB family four-helix bundle protein	1.59E-01	1.22E-03	3.86E+00		0.0271132	2.913640
DinB-2 domain-containing protein	1.59E-01	1.22E-03	3.86E+00		0.0271132	2.913640
DJ-1-PfpI domain-containing protein	1.59E-01	1.22E-03	3.86E+00		0.0271132	2.913640
group_10	1.27E-01	1.22E-03	2.49E+00		0.0271132	2.913640
group_581	1.11E-01	1.27E-03	3.18E+00		0.0280782	2.896196
group_1813	2.86E-01	1.30E-03	-2.71E+00		0.0285933	2.886057
group_5233	1.43E-01	1.31E-03	2.39E+00		0.0286655	2.882729
IMV membrane protein	1.19E-01	1.34E-03	2.88E+00		0.0291723	2.872895
group_15703	1.03E-01	1.43E-03	3.72E+00		0.0309737	2.844664
group_14111	1.43E-01	1.45E-03	3.95E+00		0.0312482	2.838632
group_287	7.94E-02	1.46E-03	3.41E+00		0.0313056	2.835647
group_1173	4.05E-01	1.52E-03	2.52E+00		0.0324292	2.818156
group_5350	6.83E-01	1.55E-03	-2.57E+00		0.0327418	2.809668
group_5349	3.17E-01	1.55E-03	2.57E+00		0.0327418	2.809668
group_13406	1.75E-01	1.59E-03	2.59E+00		0.0332575	2.798603
group_9905	1.75E-01	1.59E-03	2.59E+00		0.0332575	2.798603
group_11222	7.14E-02	1.62E-03	4.02E+00		0.0337197	2.790485
group_4271	2.54E-01	1.67E-03	2.70E+00		0.0345917	2.777284
group_1374	2.78E-01	1.70E-03	-2.66E+00		0.035043	2.769551
