variant	af	lrt-pvalue	beta	notes	fdr	log10p
group_8405	4.66E-01	5.56E-04	-1.14E+00		0.0155834	3.254925
group_16334	1.31E-01	5.60E-04	1.38E+00		0.0156167	3.251812
group_13003	1.31E-01	5.60E-04	1.38E+00		0.0156167	3.251812
group_11762	5.15E-02	5.67E-04	1.82E+00		0.0157723	3.246417
group_4246	9.23E-02	5.83E-04	1.52E+00		0.0161768	3.234331
group_3570	6.12E-01	5.89E-04	-1.21E+00		0.0163025	3.229885
group_21927	2.32E-01	5.96E-04	-2.58E+00		0.0164144	3.224754
group_16221	1.61E-01	5.96E-04	-1.80E+00		0.0164144	3.224754
group_23107	4.08E-02	6.06E-04	2.17E+00		0.0166485	3.217527
Chromosome-partitioning ATPase	1.48E-01	6.10E-04	1.26E+00		0.0166757	3.214670
group_11751	3.00E-02	6.11E-04	2.20E+00		0.0166757	3.213959
group_23133	4.94E-02	6.12E-04	1.86E+00		0.0166757	3.213249
group_748	4.94E-01	6.13E-04	-1.16E+00		0.0166757	3.212540
group_31199	7.73E-02	6.23E-04	1.99E+00		0.0169063	3.205512
group_13927	8.05E-01	6.29E-04	-1.28E+00		0.0170131	3.201349
group_3256	2.06E-01	6.30E-04	-1.52E+00		0.0170131	3.200659
group_18377	7.94E-02	6.54E-04	1.53E+00		0.0176183	3.184422
group_19203	7.30E-02	6.60E-04	1.94E+00		0.0177369	3.180456
group_10145	4.83E-01	6.65E-04	1.84E+00		0.0178281	3.177178
group_30273	3.00E-02	6.68E-04	3.51E+00		0.0178654	3.175224
group_19232	3.65E-02	6.83E-04	2.10E+00		0.018162	3.165579
group_31276	3.65E-02	6.83E-04	2.10E+00		0.018162	3.165579
group_2801	1.59E-01	6.84E-04	1.27E+00		0.018162	3.164944
group_10064	6.82E-01	6.89E-04	-1.15E+00		0.0182511	3.161781
group_6676	6.87E-02	6.95E-04	1.63E+00		0.0183662	3.158015
group_5193	7.73E-01	7.19E-04	1.39E+00		0.0189553	3.143271
group_2038	3.41E-01	7.21E-04	1.24E+00		0.018963	3.142065
group_12527	3.80E-01	7.28E-04	1.21E+00		0.0191018	3.137869
group_30272	3.00E-02	7.30E-04	3.49E+00		0.0191091	3.136677
group_17983	2.30E-01	7.32E-04	1.25E+00		0.0191164	3.135489
group_1336	4.79E-01	7.34E-04	-1.07E+00		0.0191236	3.134304
group_6944	2.94E-01	7.48E-04	1.16E+00		0.0194427	3.126098
Metal-binding protein	8.67E-01	7.51E-04	1.85E+00		0.0194751	3.124360
group_16422	4.29E-02	7.82E-04	2.06E+00		0.0202317	3.106793
group_25352	4.51E-02	7.93E-04	2.03E+00		0.0204211	3.100727
group_31228	4.51E-02	7.93E-04	2.03E+00		0.0204211	3.100727
sbcD	8.69E-01	7.95E-04	-1.27E+00		0.0204252	3.099633
group_13703	3.43E-02	8.31E-04	2.04E+00		0.0213009	3.080399
Intracellular septation protein A	2.58E-01	8.34E-04	1.45E+00		0.0213285	3.078834
group_6949	9.01E-02	8.37E-04	1.40E+00		0.021356	3.077275
group_10433	2.30E-01	8.50E-04	-2.46E+00		0.0216138	3.070581
group_22237	1.74E-01	8.51E-04	-1.62E+00		0.0216138	3.070070
group_7460	9.64E-01	8.63E-04	-1.88E+00		0.0218686	3.063989
group_14637	2.30E-01	8.66E-04	1.21E+00		0.0218946	3.062482
group_8267	7.49E-01	8.69E-04	-1.55E+00		0.0219205	3.060980
group_11011	6.93E-01	8.73E-04	-1.05E+00		0.0219715	3.058986
group_28422	2.62E-01	8.87E-04	1.45E+00		0.0222733	3.052076
group_11338	4.74E-01	8.90E-04	2.26E+00		0.022298	3.050610
group_22702	3.22E-02	8.92E-04	3.42E+00		0.022298	3.049635
group_9217	6.65E-02	8.97E-04	1.63E+00		0.0223208	3.047208
Glycosyl hydrolase	2.62E-01	9.03E-04	1.45E+00		0.0223208	3.044312
Acyltransferase family	2.36E-01	9.08E-04	-2.76E+00		0.0223208	3.041914
group_21923	2.36E-01	9.08E-04	-2.76E+00		0.0223208	3.041914
Polysaccharide pyruvyl transferase family protein	2.36E-01	9.08E-04	-2.76E+00		0.0223208	3.041914
group_21926	2.36E-01	9.08E-04	-2.76E+00		0.0223208	3.041914
group_18408	2.36E-01	9.08E-04	-2.76E+00		0.0223208	3.041914
Type VI secretion system needle protein Hcp	1.09E-01	9.09E-04	1.41E+00		0.0223208	3.041436
group_13229	6.87E-02	9.14E-04	1.65E+00		0.022394	3.039054
group_8006	2.79E-02	9.17E-04	2.09E+00		0.022418	3.037631
group_7929	3.61E-01	9.26E-04	1.14E+00		0.0225883	3.033389
group_6440	8.80E-02	9.41E-04	1.47E+00		0.0229039	3.026410
group_500	9.23E-02	9.59E-04	1.57E+00		0.0232909	3.018181
group_4662	2.36E-01	9.64E-04	1.08E+00		0.023332	3.015923
group_4801	7.08E-02	9.66E-04	1.70E+00		0.023332	3.015023
Capsule biosynthesis protein	7.02E-01	9.67E-04	-1.13E+00		0.023332	3.014574
group_30192	2.58E-02	9.76E-04	2.18E+00		0.0234981	3.010550
P-loop-TraG domain-containing protein	5.58E-02	9.88E-04	1.69E+00		0.0236271	3.005243
group_17789	8.22E-01	9.92E-04	-1.45E+00		0.0236271	3.003488
group_14477	1.78E-01	9.92E-04	1.45E+00		0.0236271	3.003488
group_29761	1.78E-01	9.92E-04	1.45E+00		0.0236271	3.003488
group_29762	1.78E-01	9.92E-04	1.45E+00		0.0236271	3.003488
group_18387	8.80E-02	1.00E-03	1.48E+00		0.0237666	3.000000
