trait,trait_id,trait_value,bin,phylo_dist_mean,hgt_rate_mean,n_pairs,n_bins
obligate anaerobic,obligate_anaerobic,2,"(1.069, 1.135]",1.0908452374411763,0.03149186374641828,34,30
obligate anaerobic,obligate_anaerobic,2,"(1.135, 1.202]",1.1562686235769226,0.09683834109520847,26,30
obligate anaerobic,obligate_anaerobic,2,"(1.202, 1.268]",1.2349719751,0.0,20,30
obligate anaerobic,obligate_anaerobic,2,"(1.268, 1.335]",1.3029707097058822,0.0,17,30
obligate anaerobic,obligate_anaerobic,2,"(1.335, 1.401]",1.3686456432307692,0.0,13,30
obligate anaerobic,obligate_anaerobic,2,"(1.401, 1.468]",1.4320921626999998,0.0,10,30
obligate anaerobic,obligate_anaerobic,2,"(1.468, 1.534]",1.4970933978709675,0.0,31,30
obligate anaerobic,obligate_anaerobic,2,"(1.534, 1.601]",1.5639038793620688,0.0,58,30
obligate anaerobic,obligate_anaerobic,2,"(1.601, 1.667]",1.6312485080131578,0.0,76,30
obligate anaerobic,obligate_anaerobic,2,"(1.667, 1.734]",1.7025452210101009,0.0006825721859771099,99,30
obligate anaerobic,obligate_anaerobic,2,"(1.734, 1.8]",1.774525070191919,0.005312244155831145,198,30
obligate anaerobic,obligate_anaerobic,2,"(1.8, 1.867]",1.8359922036698113,0.0009919401175004037,106,30
obligate anaerobic,obligate_anaerobic,2,"(1.867, 1.933]",1.900638153598901,0.0008148667333414642,182,30
obligate anaerobic,obligate_anaerobic,2,"(1.933, 2.0]",1.9598550633246754,0.00034400149465388537,77,30
