trait,trait_id,trait_value,bin,phylo_dist_mean,hgt_rate_mean,n_pairs,n_bins
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,1,"(1.468, 1.534]",1.5176754928999998,7.691996275454435e-05,50,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,1,"(1.534, 1.601]",1.5610981120599998,0.0019130434782608696,50,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,1,"(1.601, 1.667]",1.6337222768064517,0.0,31,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,1,"(1.667, 1.734]",1.702975174051282,0.0005574136008918618,78,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,1,"(1.734, 1.8]",1.7710240744848482,0.0001385809312638581,132,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,1,"(1.8, 1.867]",1.837129872076923,0.0005330303865050706,104,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,1,"(1.867, 1.933]",1.9025293359433961,0.00011404490244834883,159,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,1,"(1.933, 2.0]",1.9673816217536233,7.776584292272417e-06,69,24
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,2,"(0.00196, 0.0714]",0.044143714313432746,0.2923326718565568,67,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,2,"(0.0714, 0.138]",0.10083258357142846,0.3364842318880794,35,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,2,"(0.138, 0.204]",0.17408609457017532,0.34270634959722773,114,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,2,"(0.204, 0.271]",0.23762875677333323,0.3756098773267785,75,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,2,"(0.271, 0.337]",0.28162117728571423,0.2758266097136529,7,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,2,"(0.337, 0.404]",0.37998457225,0.08823529411764705,4,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,2,"(0.404, 0.47]",0.44064839075862056,0.34336329834463003,29,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,2,"(0.47, 0.537]",0.4961458065225223,0.27450245882829827,111,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,2,"(0.537, 0.603]",0.57062291475,0.0,4,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,2,"(0.603, 0.67]",0.6220146099999999,0.0,3,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,2,"(0.67, 0.736]",0.7244411419999998,0.0,12,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,2,"(0.736, 0.803]",0.7612943909090906,0.0,11,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,2,"(0.803, 0.869]",0.8467489133999997,0.128933354337178,20,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,2,"(0.869, 0.936]",0.9018481030199997,0.24727618459447187,50,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,2,"(0.936, 1.002]",0.9687614205238091,0.14950844543371783,21,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,2,"(1.002, 1.069]",1.0450810869726024,0.16478359250353602,73,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,2,"(1.069, 1.135]",1.0919790899999995,0.11692109903487745,12,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,2,"(1.135, 1.202]",1.1524450002631574,0.16788448456286464,19,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,2,"(1.202, 1.268]",1.233505441,0.0,3,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,2,"(1.268, 1.335]",1.31914919,0.0,3,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,2,"(1.335, 1.401]",1.3827303844999996,0.0,12,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,2,"(1.401, 1.468]",1.4311673738888886,0.0,9,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,2,"(1.468, 1.534]",1.5010548662499998,0.0,8,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,2,"(1.534, 1.601]",1.5849377238,0.0,25,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,2,"(1.601, 1.667]",1.6258595261999997,0.0,10,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,2,"(1.667, 1.734]",1.6935983681666664,0.0,12,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,2,"(1.734, 1.8]",1.7775891954423075,4.072877352086671e-05,52,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,2,"(1.8, 1.867]",1.822567794224359,0.00016901542474236802,156,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,2,"(1.867, 1.933]",1.9008234715468748,8.147465695695726e-05,64,30
enzyme activity: alkaline phosphatase (EC3.1.3.1),enzyme_activity_alkaline_phosphatase_ec3_1_3_1,2,"(1.933, 2.0]",1.9545013827567566,0.0,74,30
