species_pair,n_total_pairs,n_hgt_pairs,hgt_rate,phylo_dist,trait_value
104_1-44_1,8,0,0.0,2.496217796999999,0
104_1-44_3,15,0,0.0,2.496928236999999,0
104_1-44_5,2,0,0.0,2.4993119779999997,0
104_1-45_1,57,0,0.0,2.576394549999999,0
104_1-46_1,35,0,0.0,2.445017925999999,0
104_1-47_2,1,0,0.0,2.449427440999999,0
104_1-48_2,27,0,0.0,2.507239925999999,0
104_1-4_3,6,0,0.0,2.3884925779999997,0
104_1-50_1,4,0,0.0,2.502202842999999,0
104_1-51_1,3,0,0.0,2.504781072999999,0
104_1-52_1,1,0,0.0,2.509315913999999,0
104_1-66_3,10,0,0.0,2.125784319,1
104_1-66_4,4,0,0.0,2.120223897,1
104_1-66_5,68,0,0.0,2.1187421029999998,1
104_1-74_1,2,0,0.0,2.111777796,1
104_1-76_2,4,0,0.0,2.1151159389999994,0
104_1-96_1,24,0,0.0,0.6206615759999998,0
104_1-97_1,3,0,0.0,0.6528096569999997,0
104_1-99_2,5,0,0.0,0.556442938,0
105_1-125_1,1,0,0.0,0.7571278479999997,0
105_1-26_2,5,0,0.0,2.6173823499999997,0
105_1-326_1,1,0,0.0,1.9382640669999995,0
105_1-330_1,3,0,0.0,2.040584515999999,0
105_1-335_1,16,0,0.0,2.019259834,0
105_1-338_1,33,0,0.0,2.0534256159999997,0
105_1-39_5,5,0,0.0,2.511419616999999,0
105_1-44_1,7,0,0.0,2.513780410999999,0
105_1-44_3,5,0,0.0,2.5144908509999992,0
105_1-46_1,8,0,0.0,2.462580539999999,0
105_1-48_2,25,0,0.0,2.524802539999999,0
105_1-50_1,3,0,0.0,2.519765456999999,0
105_1-66_5,3,0,0.0,2.136304717,1
105_1-96_1,3,0,0.0,0.6382241899999999,0
105_1-97_1,2,0,0.0,0.6703722709999997,0
105_1-9_2,1,0,0.0,2.2972140819999995,0
106_1-112_1,2,0,0.0,0.8854470320000001,0
106_1-318_39,2,0,0.0,1.8916130039999992,0
106_1-326_1,1,0,0.0,1.9381436279999995,0
106_1-335_1,9,0,0.0,2.019139394999999,0
106_1-338_1,3,0,0.0,2.0533051769999995,0
106_1-44_3,1,0,0.0,2.5143704119999994,0
106_1-48_2,1,0,0.0,2.524682101,0
106_1-51_1,2,0,0.0,2.522223247999999,0
106_1-66_3,4,0,0.0,2.1432264939999994,1
106_1-66_5,20,0,0.0,2.1361842779999995,1
107_1-109_2,1,0,0.0,0.2324583869999998,0
107_1-112_1,6,1,0.16666666666666666,0.8812246909999999,0
107_1-11_1,3,0,0.0,2.2719050679999997,0
107_1-120_1,1,0,0.0,0.7253457039999995,0
107_1-125_1,7,0,0.0,0.7527850679999997,0
107_1-14_1,2,0,0.0,2.3603565559999997,0
107_1-171_1,1,0,0.0,1.7174017449999996,1
107_1-179_1,6,0,0.0,1.3767768659999993,0
107_1-180_1,1,0,0.0,1.3892526309999993,0
107_1-223_1,1,0,0.0,0.7699288249999996,0
107_1-228_2,1,0,0.0,0.8750669399999995,0
107_1-229_2,1,0,0.0,0.8597418969999993,0
107_1-229_3,9,0,0.0,0.8566622789999991,0
107_1-233_3,1,0,0.0,0.8589949159999994,0
107_1-240_1,2,0,0.0,0.898637423999999,0
107_1-26_2,13,0,0.0,2.6130395699999998,0
107_1-298_1,1,0,0.0,1.1266059389999992,0
107_1-300_1,5,0,0.0,1.1332122609999993,0
107_1-318_56,1,0,0.0,1.8842656009999996,0
107_1-326_1,4,0,0.0,1.9339212869999995,0
107_1-32_1,5,0,0.0,2.497302251,0
107_1-330_1,1,0,0.0,2.036241735999999,0
107_1-334_1,1,0,0.0,2.017713551,0
107_1-334_3,2,0,0.0,2.0248599149999995,0
107_1-335_1,16,0,0.0,2.014917054,0
107_1-338_1,17,0,0.0,2.0490828359999997,0
107_1-37_1,6,0,0.0,2.508469183999999,0
107_1-38_1,2,0,0.0,2.494360291999999,0
107_1-39_5,4,0,0.0,2.507076836999999,0
107_1-42_1,1,0,0.0,2.498568761999999,0
107_1-42_2,2,0,0.0,2.4977764829999995,0
107_1-44_3,3,0,0.0,2.5101480709999997,0
107_1-45_1,43,0,0.0,2.589614383999999,0
107_1-46_1,2,0,0.0,2.458237759999999,0
107_1-48_2,6,0,0.0,2.520459759999999,0
107_1-4_2,1,0,0.0,2.403955764,0
107_1-4_3,4,0,0.0,2.4017124119999997,0
107_1-66_3,1,0,0.0,2.139004153,1
107_1-66_5,25,0,0.0,2.131961937,1
107_1-90_1,5,0,0.0,0.6587859619999996,0
107_1-97_1,4,0,0.0,0.6660294909999998,0
109_1-10_1,2,0,0.0,2.299140817,0
109_1-10_2,2,0,0.0,2.2992566459999995,0
109_1-19_1,2,0,0.0,2.6124230639999992,0
109_1-20_1,5,0,0.0,2.611146693999999,0
109_1-229_3,15,0,0.0,0.8672475179999992,0
109_1-230_1,2,0,0.0,0.8571177219999995,0
109_1-233_3,2,0,0.0,0.8695801549999995,0
109_1-252_1,1,0,0.0,1.4130280639999993,0
109_1-263_1,3,0,0.0,1.6455309539999994,0
109_1-26_2,5,0,0.0,2.6236248089999994,0
109_1-26_3,2,0,0.0,2.6127317509999988,0
109_1-318_54,3,0,0.0,1.8972273879999997,0
109_1-318_56,2,0,0.0,1.8948508399999997,0
109_1-325_1,1,0,0.0,1.963992481,0
109_1-326_1,31,0,0.0,1.944506526,0
109_1-32_1,8,0,0.0,2.5078874899999994,0
109_1-334_1,9,0,0.0,2.02829879,0
109_1-335_1,76,0,0.0,2.025502293,0
109_1-338_1,35,0,0.0,2.059668075,0
109_1-39_5,7,0,0.0,2.5176620759999992,0
109_1-42_2,3,0,0.0,2.508361722,0
109_1-43_1,1,0,0.0,2.5149507319999995,0
109_1-44_3,1,0,0.0,2.52073331,0
109_1-45_1,11,0,0.0,2.600199622999999,0
109_1-46_1,1,0,0.0,2.468822998999999,0
109_1-48_2,8,0,0.0,2.5310449989999992,0
109_1-4_3,2,0,0.0,2.412297651,0
109_1-66_5,46,0,0.0,2.1425471759999994,1
109_2-125_1,6,0,0.0,0.7664914409999999,0
109_2-223_1,1,0,0.0,0.7836351979999994,0
109_2-228_2,1,0,0.0,0.8887733129999997,0
109_2-229_3,9,0,0.0,0.8703686519999994,0
109_2-240_1,4,0,0.0,0.9123437969999996,0
109_2-318_56,36,0,0.0,1.897971974,0
109_2-330_1,1,0,0.0,2.049948109,0
109_2-334_1,1,0,0.0,2.031419924,0
109_2-334_3,4,0,0.0,2.0385662879999997,0
109_2-335_1,28,0,0.0,2.0286234269999994,0
109_2-338_1,1,0,0.0,2.062789209,0
109_2-66_3,1,0,0.0,2.1527105259999995,1
109_2-66_5,26,0,0.0,2.14566831,1
109_2-97_1,3,0,0.0,0.679735864,0
10_1-119_1,1,0,0.0,2.136724926,0
10_1-11_1,1,0,0.0,0.1397716520000003,0
10_1-14_1,3,0,0.0,0.909288578,0
10_1-20_1,6,0,0.0,1.1494934769999996,0
10_1-229_3,4,0,0.0,2.106039435,0
10_1-252_1,2,0,0.0,1.826771831,0
10_1-26_3,1,0,0.0,1.1510785339999994,0
10_1-318_54,1,0,0.0,1.5585772510000002,0
10_1-318_56,12,0,0.0,1.5562007030000002,0
10_1-325_1,2,0,0.0,1.6253423440000003,0
10_1-326_1,23,0,0.0,1.6058563890000004,0
10_1-32_1,22,0,0.0,1.046234273,0
10_1-331_1,5,0,0.0,1.6867529370000005,0
10_1-334_1,18,0,0.0,1.6896486530000006,0
10_1-335_1,90,0,0.0,1.6868521560000005,0
10_1-338_1,69,0,0.0,1.721017938,0
10_1-39_5,14,0,0.0,1.056008859,0
10_1-44_1,6,0,0.0,1.0583696529999995,0
10_1-45_1,4,0,0.0,1.1385464059999997,0
10_1-46_1,5,0,0.0,1.0071697819999996,0
10_1-48_2,30,0,0.0,1.0693917819999998,0
10_1-66_2,2,0,0.0,1.601540653,1
10_1-66_5,44,0,0.0,1.599649633,1
10_1-76_2,1,0,0.0,1.596023469,0
10_1-90_1,3,0,0.0,2.069963858,0
10_1-96_1,5,0,0.0,2.229989706,0
10_2-112_1,55,0,0.0,2.292518416,0
10_2-114_1,14,0,0.0,2.250364292,0
10_2-114_2,6,0,0.0,2.250082048,0
10_2-119_1,24,0,0.0,2.136840755,0
10_2-11_1,14,3,0.21428571428571427,0.1398874810000001,0
10_2-120_1,7,0,0.0,2.136639429,0
10_2-122_1,9,0,0.0,2.221050282,0
10_2-123_0,1,0,0.0,2.242752387,0
10_2-124_1,10,0,0.0,2.206700051,0
10_2-125_1,38,0,0.0,2.164078793,0
10_2-149_1,1,0,0.0,2.088796227,0
10_2-14_1,19,4,0.21052631578947367,0.9094044069999998,0
10_2-150_1,1,0,0.0,2.064153141,0
10_2-152_1,5,0,0.0,2.080563029,0
10_2-178_1,2,0,0.0,2.355961161,0
10_2-178_2,1,0,0.0,2.355256796,0
